経路長：48503.0
i: 0, length:47060.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:1.43598
i: 1, length:45988.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:4.86072
i: 2, length:44760.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:8.92692
i: 3, length:44125.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:12.78704
i: 4, length:43134.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:16.38378
i: 5, length:42751.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:20.13421
i: 6, length:42271.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:24.01859
i: 7, length:41934.0     , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:27.88624
i: 8, length:41592.0     , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:32.03292
i: 9, length:41393.0     , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:35.69933
i:10, length:41107.0     , tours_all_len:10,            num_True:2,            num_already_baseline:2            lap_time:39.53736
i:11, length:40888.0     , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:43.50558
i:12, length:40639.0     , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:47.07732
i:13, length:40441.0     , tours_all_len:10,            num_True:5,            num_already_baseline:6            lap_time:50.83834
i:14, length:40391.0     , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:54.43350
i:15, length:40338.0     , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:58.68311
i:16, length:40101.0     , tours_all_len:10,            num_True:4,            num_already_baseline:4            lap_time:62.46852
i:17, length:39993.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:66.30310
i:18, length:39885.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:70.10307
i:19, length:39766.0     , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:73.94278
i:20, length:39766.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:78.14896
i:21, length:39766.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:81.95150
i:22, length:39766.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:85.81808
i:23, length:39723.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:89.77255
i:24, length:39723.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:94.07981
i:25, length:39684.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:98.01285
i:26, length:39560.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:101.83640
i:27, length:39560.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:105.64540
i:28, length:39505.0     , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:109.71348
i:29, length:39505.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:114.88589
i:30, length:39505.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:118.77660
i:31, length:39462.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:122.68300
i:32, length:39462.0     , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:127.11295
i:33, length:39462.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:132.04120
i:34, length:39448.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:136.70279
i:35, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:140.75078
i:36, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:144.48874
i:37, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:148.20344
i:38, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:152.66329
i:39, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:156.83499
i:40, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:160.90220
i:41, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:165.10517
i:42, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:169.14350
i:43, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:173.19231
i:44, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:177.66135
i:45, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:181.64457
i:46, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:185.81806
i:47, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:190.23938
i:48, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:194.32533
i:49, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:198.36374
i:50, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:202.95286
i:51, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:206.91529
i:52, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:211.01223
i:53, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:215.03922
i:54, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:219.75321
i:55, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:223.66141
i:56, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:227.77280
i:57, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:231.80626
i:58, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:236.01246
i:59, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:240.36144
i:60, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:244.32280
i:61, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:248.39342
i:62, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:252.81875
i:63, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:256.94026
i:64, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:260.95728
i:65, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:264.92552
i:66, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:269.49538
i:67, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:273.52468
i:68, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:277.54998
i:69, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:281.99455
i:70, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:285.95665
i:71, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:290.00703
i:72, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:294.00458
i:73, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:298.19258
i:74, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:302.18854
i:75, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:306.56016
i:76, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:310.41995
i:77, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:314.71658
i:78, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:319.06821
i:79, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:323.03335
i:80, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:327.33576
i:81, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:331.67135
i:82, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:335.68608
i:83, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:339.80858
i:84, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:344.29106
i:85, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:348.37557
i:86, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:352.35937
i:87, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:356.40265
i:88, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:360.45265
i:89, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:364.97343
i:90, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:368.82179
i:91, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:372.75611
i:92, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:376.76664
i:93, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:381.31012
i:94, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:385.34362
i:95, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:389.34088
i:96, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:393.51637
i:97, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:397.60696
i:98, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:401.64563
i:99, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:405.52991
