1回目
経路長：2106.0
i: 0, length:1987.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:0.58089
i: 1, length:1813.0      , tours_all_len:10,            num_True:2,            num_already_baseline:2            lap_time:2.05200
i: 2, length:1758.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:3.77192
i: 3, length:1688.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:7.08818
i: 4, length:1613.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:8.90468
i: 5, length:1575.0      , tours_all_len:10,            num_True:4,            num_already_baseline:4            lap_time:10.43540
i: 6, length:1549.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:12.98599
i: 7, length:1547.0      , tours_all_len:10,            num_True:7,            num_already_baseline:10            lap_time:14.90209
i: 8, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:16.46330
i: 9, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:18.13446
i:10, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:19.69317
i:11, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:21.25422
i:12, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:22.88728
i:13, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:24.44038
i:14, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:26.07408
i:15, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:28.09964
i:16, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:29.80909
i:17, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:31.68332
i:18, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:33.91107
i:19, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:35.88882
i:20, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:37.64328
i:21, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:39.29922
i:22, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:41.05548
i:23, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:43.15656
i:24, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:44.97363
i:25, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:46.96509
i:26, length:1547.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:49.37786
i:27, length:1532.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:51.58146
i:28, length:1532.0      , tours_all_len:10,            num_True:8,            num_already_baseline:10            lap_time:53.94911
i:29, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:56.15265
i:30, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:58.50900
i:31, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:61.24735
i:32, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:64.02662
i:33, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:66.15630
i:34, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:68.99837
i:35, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:72.89441
i:36, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:74.66180
i:37, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:77.58508
i:38, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:80.27739
i:39, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:82.20497
i:40, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:83.85688
i:41, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:85.56186
i:42, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:87.36320
i:43, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:89.11052
i:44, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:90.79560
i:45, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:92.48752
i:46, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:94.33263
i:47, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:96.37200
i:48, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:98.06586
i:49, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:99.90520
i:50, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:101.55207
i:51, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:103.18141
i:52, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:104.88445
i:53, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:106.63857
i:54, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:108.43134
i:55, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:110.67412
i:56, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:113.23415
i:57, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:115.18883
i:58, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:117.49273
i:59, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:119.31738
i:60, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:121.05964
i:61, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:123.67557
i:62, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:125.35780
i:63, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:127.06690
i:64, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:128.79942
i:65, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:130.83706
i:66, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:132.70774
i:67, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:134.42823
i:68, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:136.19672
i:69, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:137.80210
i:70, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:139.65129
i:71, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:141.56945
i:72, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:143.53342
i:73, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:145.32434
i:74, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:147.03635
i:75, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:148.72925
i:76, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:150.46830
i:77, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:152.14001
i:78, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:153.79678
i:79, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:155.42926
i:80, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:157.14054
i:81, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:158.83770
i:82, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:160.56251
i:83, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:162.22575
