経路長：53631.57211
i:  0, length:53631.57211 , length_2:53638.95114 , length_3:53654.15673             num_True:4  ,            lap_time:2.90019
i:  1, length:53631.57211 , length_2:53638.95114 , length_3:53640.10693             num_True:6  ,            lap_time:8.44389
i:  2, length:53560.55627 , length_2:53598.08799 , length_3:53611.14858             num_True:6  ,            lap_time:17.45845
i:  3, length:53539.96265 , length_2:53547.34168 , length_3:53560.55627             num_True:8  ,            lap_time:27.44357
i:  4, length:53435.41265 , length_2:53471.70371 , length_3:53511.80585             num_True:5  ,            lap_time:36.85147
i:  5, length:53389.29701 , length_2:53395.57808 , length_3:53399.12159             num_True:4  ,            lap_time:47.16771
i:  6, length:53381.91798 , length_2:53389.29701 , length_3:53395.57808             num_True:7  ,            lap_time:57.60220
i:  7, length:53263.24897 , length_2:53270.628   , length_3:53284.2881              num_True:6  ,            lap_time:68.19422
i:  8, length:53263.24897 , length_2:53270.628   , length_3:53276.90907             num_True:5  ,            lap_time:77.87617
i:  9, length:53215.76779 , length_2:53263.24897 , length_3:53270.628               num_True:6  ,            lap_time:87.29762
i: 10, length:53076.4358  , length_2:53194.33896 , length_3:53208.38876             num_True:7  ,            lap_time:97.09299
i: 11, length:53006.71336 , length_2:53040.14474 , length_3:53047.52377             num_True:6  ,            lap_time:107.85958
i: 12, length:53006.71336 , length_2:53014.09239 , length_3:53040.14474             num_True:8  ,            lap_time:123.54049
i: 13, length:52946.15823 , length_2:53006.71336 , length_3:53014.09239             num_True:4  ,            lap_time:135.58212
i: 14, length:52883.7685  , length_2:52898.67705 , length_3:52938.7792              num_True:6  ,            lap_time:146.52505
i: 15, length:52876.38947 , length_2:52883.7685  , length_3:52891.29802             num_True:7  ,            lap_time:156.27738
i: 16, length:52856.71752 , length_2:52876.38947 , length_3:52883.7685              num_True:7  ,            lap_time:165.67391
i: 17, length:52797.87572 , length_2:52814.10349 , length_3:52829.74786             num_True:6  ,            lap_time:174.79596
i: 18, length:52674.26892 , length_2:52714.10349 , length_3:52797.87572             num_True:5  ,            lap_time:184.99301
i: 19, length:52674.26892 , length_2:52689.17747 , length_3:52702.36852             num_True:8  ,            lap_time:194.49151
i: 20, length:52674.26892 , length_2:52689.17747 , length_3:52702.36852             num_True:8  ,            lap_time:203.74025
i: 21, length:52674.26892 , length_2:52674.26893 , length_3:52689.17747             num_True:9  ,            lap_time:213.87987
i: 22, length:52674.26892 , length_2:52674.26893 , length_3:52689.17747             num_True:8  ,            lap_time:223.30435
i: 23, length:52674.26892 , length_2:52674.26893 , length_3:52689.17747             num_True:9  ,            lap_time:233.15714
i: 24, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:9  ,            lap_time:242.68367
i: 25, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:10 ,            lap_time:252.13016
i: 26, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:9  ,            lap_time:261.22688
i: 27, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:10 ,            lap_time:270.76565
i: 28, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:9  ,            lap_time:279.83388
i: 29, length:52674.26892 , length_2:52674.26893 , length_3:52683.21497             num_True:10 ,            lap_time:289.11653
i: 30, length:52662.66037 , length_2:52674.26892 , length_3:52674.26893             num_True:10 ,            lap_time:298.77837
i: 31, length:52662.66037 , length_2:52674.26892 , length_3:52674.26893             num_True:10 ,            lap_time:308.12092
i: 32, length:52562.26135 , length_2:52662.66037 , length_3:52674.26892             num_True:7  ,            lap_time:317.23581
i: 33, length:52562.26135 , length_2:52602.09591 , length_3:52662.66037             num_True:10 ,            lap_time:326.57454
i: 34, length:52562.26135 , length_2:52602.09591 , length_3:52662.66037             num_True:10 ,            lap_time:334.94994
i: 35, length:52562.26135 , length_2:52602.09591 , length_3:52603.02544             num_True:9  ,            lap_time:344.62905
i: 36, length:52562.26135 , length_2:52602.09591 , length_3:52603.02544             num_True:9  ,            lap_time:353.31380
i: 37, length:52562.26135 , length_2:52602.09591 , length_3:52603.02544             num_True:10 ,            lap_time:362.27589
i: 38, length:52562.26135 , length_2:52589.31233 , length_3:52602.09591             num_True:8  ,            lap_time:371.42601
