経路長：4854.0
i: 0, length:4735.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:2.90513
i: 1, length:4582.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:10.42340
i: 2, length:4461.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:17.27750
i: 3, length:4354.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:26.71113
i: 4, length:4208.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:33.24408
i: 5, length:4092.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:40.45254
i: 6, length:3985.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:47.41020
i: 7, length:3877.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:54.10723
i: 8, length:3774.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:61.80659
i: 9, length:3669.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:68.37162
i:10, length:3573.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:75.15833
i:11, length:3479.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:82.80941
i:12, length:3377.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:90.29737
i:13, length:3286.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:97.36596
i:14, length:3199.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:104.10267
i:15, length:3099.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:111.54611
i:16, length:3016.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:118.88648
i:17, length:2928.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:125.40880
i:18, length:2850.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:132.31253
i:19, length:2775.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:139.40526
i:20, length:2704.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:146.26585
i:21, length:2628.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:153.19615
i:22, length:2545.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:159.84168
i:23, length:2472.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:166.06901
i:24, length:2412.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:173.10328
