1回目
経路長：6241.0
i: 0, length:6114.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:2.98105
i: 1, length:6000.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:9.96203
i: 2, length:5886.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:17.97189
i: 3, length:5778.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:25.27978
i: 4, length:5676.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:33.21071
i: 5, length:5573.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:41.07016
i: 6, length:5469.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:49.17969
i: 7, length:5370.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:57.85336
i: 8, length:5263.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:66.21917
i: 9, length:5168.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:78.28218
i:10, length:5071.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:86.66208
i:11, length:4982.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:95.16558
i:12, length:4892.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:105.51322
i:13, length:4801.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:113.72376
i:14, length:4703.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:122.54530
i:15, length:4620.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:135.19632
i:16, length:4551.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:146.59981
i:17, length:4473.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:156.26196
i:18, length:4413.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:166.01720
i:19, length:4340.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:176.61782
i:20, length:4277.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:186.31156
i:21, length:4213.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:196.20816
